,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
84,ヒエログリフの石版,通常魔法,,,,,,10248192,１０００ライフポイントを払う。そのデュエル中、自分の手札制限枚数が７枚になる。
85,黒蛇病,永続魔法,,,,,,47233801,自分のスタンバイフェイズ毎にお互いのライフに２００ポイントダメージを与える。２ターン目以後自分のスタンバイフェイズ毎にダメージは倍になる。
86,テラ・フォーミング,通常魔法,,,,,,73628505,(1)：デッキからフィールド魔法カード１枚を手札に加える。
87,勇気の旗印,永続魔法,,,,,,10012614,(1)：このカードが魔法＆罠ゾーンに存在する限り、自分フィールドのモンスターの攻撃力は、自分バトルフェイズの間２００アップする。
88,突然変異【禁止カード】,通常魔法,,,,,,46411259,自分フィールド上モンスター１体を生け贄に捧げる。生け贄に捧げたモンスターのレベルと同じレベルの融合モンスター１体を融合デッキから特殊召喚する。
89,王家の生け贄,通常魔法,,,,,,72405967,「王家の眠る谷-ネクロバレー」が自分フィールド上に存在している時に発動する事ができる。お互いの手札にあるモンスターカードを全て墓地に捨てる。
90,大逆転クイズ,通常魔法,,,,,,05990062,自分の手札とフィールド上のカードを全て墓地に送る。自分のデッキの一番上にあるカードの種類（魔法・罠・モンスター）を当てる。当てた場合、相手と自分のライフポイントを入れ替える。
91,棺桶売り,永続罠,,,,,,65830223,相手のモンスターカードが墓地に送られる度に相手ライフに３００ポイントダメージを与える。
92,老化の呪い,通常罠,,,,,,41398771,手札からカードを１枚捨てる。ターン終了時まで相手フィールド上の全モンスターの攻撃力・守備力は５００ポイントダウンする。
93,地獄の扉越し銃,ｶｳﾝﾀｰ罠,,,,,,78783370,ダメージを与える効果が発動した時に発動する事ができる。自分が受けるその効果ダメージを相手に与える。
94,サンダー・ブレイク,通常罠,,,,,,04178474,(1)：手札を１枚捨て、フィールドのカード１枚を対象として発動できる。そのカードを破壊する。
95,狭き通路,永続罠,,,,,,40172183,お互いのフィールド上にそれぞれモンスターが２体以下の時に発動する事ができる。お互いのプレイヤーは自分フィールド上に召喚できるモンスターは２体までになる。
96,攪乱作戦,通常罠,,,,,,77561728,相手は手札をデッキに加えてシャッフルした後、元の手札の数だけデッキからカードをドローする。
97,黒板消しの罠,ｶｳﾝﾀｰ罠,,,,,,03055837,ダメージを与える効果が発動した時に発動する事ができる。自分が受けるその効果ダメージを無効にし、相手は手札を１枚選択して捨てる。
98,降霊の儀式,通常罠,,,,,,30450531,指定した自分の墓地の「墓守の」という名のついたモンスターカード１枚を特殊召喚する。このカードの発動は「王家の眠る谷-ネクロバレー」によっては制限されない。
99,絶対不可侵領域,通常罠,,,,,,76848240,自分のスタンバイフェイズに発動する事ができる。手札からカードを１枚捨てる。相手は次の相手ターンに通常召喚・特殊召喚ができない。
100,竜の血族,通常罠,,,,,,02833249,自分フィールド上の全てのモンスターは、エンドフェイズ時までドラゴン族になる。
101,溶岩魔神ラヴァ・ゴーレム,特殊召喚,8,炎,悪魔,3000,2500,00102380,このカードは通常召喚できない。相手フィールドのモンスター２体をリリースした場合に相手フィールドに特殊召喚できる。このカードを特殊召喚するターン、自分は通常召喚できない。(1)：自分スタンバイフェイズに発動する。自分は１０００ダメージを受ける。
102,バイサー・ショック,効果,5,闇,悪魔,800,600,17597059,このカードが召喚・反転召喚・特殊召喚に成功した時、フィールド上の全てのセットされたカードを持ち主の手札に戻す。
103,クイズ,通常魔法,,,,,,38723936,発動中、相手は墓地のカードを確認する事ができない。相手プレイヤーは「クイズ」発動プレイヤーの墓地の一番下にあるモンスター名を当てる。当てた場合、そのカードをゲームから除外する。ハズレの場合、そのカードは持ち主のフィールド上に特殊召喚される。
104,命の綱,通常罠,,,,,,93382620,自分モンスターが戦闘によって墓地に送られた時に、手札を全て捨てて発動する。そのモンスターの攻撃力を８００ポイントアップさせて、フィールド上に特殊召喚する。
105,拷問車輪,永続罠,,,,,,54704216,相手フィールドのモンスター１体を対象としてこのカードを発動できる。(1)：このカードが魔法＆罠ゾーンに存在する限り、対象のモンスターは攻撃できず、表示形式の変更もできない。そのモンスターがフィールドから離れた時にこのカードは破壊される。(2)：自分スタンバイフェイズに発動する。相手に５００ダメージを与える。この効果は対象のモンスターがモンスターゾーンに存在する場合に発動と処理を行う。
106,真紅眼の黒竜,通常,7,闇,ドラゴン,2400,2000,74677422,真紅の眼を持つ黒竜。怒りの黒き炎はその眼に映る者全てを焼き尽くす。
107,ニトロ・シンクロン,ﾁｭｰﾅｰ効果,2,炎,機械,300,100,96182448,このカードが「ニトロ」と名のついたシンクロモンスターのシンクロ召喚に使用され墓地へ送られた場合、自分のデッキからカードを１枚ドローする。
108,デッド・ガードナー,効果,4,闇,戦士,0,1900,59965151,自分フィールド上に表側表示で存在するモンスターが攻撃対象に選択された時、このカードに攻撃対象を変更する事ができる。このカードが破壊され墓地へ送られた時、相手フィールド上に表側表示で存在するモンスター１体の攻撃力はエンドフェイズ時まで１０００ポイントダウンする。
109,ビッグ・ピース・ゴーレム,効果,5,地,岩石,2100,0,25247218,相手フィールド上にモンスターが存在し、自分フィールド上にモンスターが存在しない場合、このカードはリリースなしで召喚する事ができる。
110,ダーク・リゾネーター,ﾁｭｰﾅｰ効果,3,闇,悪魔,1300,300,97021916,(1)：このカードは１ターンに１度だけ戦闘では破壊されない。
111,手錠龍,効果,5,風,ドラゴン,1800,1800,97904474,このカードが相手モンスターの攻撃によって破壊され墓地へ送られた時、このカードを装備カード扱いとしてそのモンスターに装備する事ができる。装備モンスターの攻撃力は１８００ポイントダウンする。装備モンスターが破壊される事によってこのカードが墓地へ送られた時、このカードを自分フィールド上に特殊召喚する事ができる。
112,疾風の暗黒騎士ガイア,効果,7,闇,戦士,2300,2100,16589042,(1)：手札がこのカード１枚のみの場合、このカードはリリースなしで召喚できる。
113,ハーピィ・レディ１,効果,4,風,鳥獣,1300,1400,91932350,このカードのカード名は「ハーピィ・レディ」として扱う。このカードがフィールド上に表側表示で存在する限り、風属性モンスターの攻撃力は３００ポイントアップする。
114,宝玉獣 サファイア・ペガサス,効果,4,風,獣,1800,1200,07093411,このカードが召喚・反転召喚・特殊召喚に成功した時、自分の手札・デッキ・墓地から「宝玉獣」と名のついたモンスター１体を永続魔法カード扱いとして自分の魔法＆罠カードゾーンに表側表示で置く事ができる。このカードがモンスターカードゾーン上で破壊された場合、墓地へ送らずに永続魔法カード扱いとして自分の魔法＆罠カードゾーンに表側表示で置く事ができる。
115,ジェネクス・コントローラー,ﾁｭｰﾅｰ通常,3,闇,機械,1400,1200,68505803,仲間達と心を通わせる事ができる、数少ないジェネクスのひとり。様々なエレメントの力をコントロールできるぞ。
116,ジェネクス・ウンディーネ,効果,3,水,水,1200,600,04904812,このカードが召喚に成功した時、デッキから水属性モンスター１体を墓地へ送って発動できる。デッキから「ジェネクス・コントローラー」１体を手札に加える。
117,ジェネクス・パワー・プランナー,効果,1,光,魔法使い,300,200,30399511,このカードが召喚に成功した時、デッキからレベル３の「ジェネクス」と名のついた効果モンスター１体を手札に加える事ができる。
118,ジェネクス・サーチャー,効果,4,地,機械,1600,400,67483216,このカードが戦闘によって破壊され墓地へ送られた時、デッキから攻撃力１５００以下の「ジェネクス」と名のついたモンスター１体を表側攻撃表示で特殊召喚できる。
119,ジェネクス・ワーカー,効果,3,風,機械,1200,1200,93882364,このカードをリリースして発動できる。手札から「ジェネクス」と名のついたモンスター１体を特殊召喚する。
120,氷弾使いレイス,ﾁｭｰﾅｰ効果,2,水,海竜,800,800,30276969,このカードはレベル４以上のモンスターとの戦闘では破壊されない。
121,氷結界のロイヤル・ナイト,効果,5,水,戦士,2000,2000,66661678,このカードがアドバンス召喚に成功した時、相手フィールド上に「アイスコフュントークン」（水族・水・星１・攻１０００／守０）１体を攻撃表示で特殊召喚する。このトークンはアドバンス召喚のためにはリリースできない。
122,氷結界に住む魔酔虫,効果,4,水,昆虫,1300,1800,92065772,このカードが召喚に成功した時、使用していないモンスターカードゾーンを１ヵ所指定して発動する。このカードがフィールド上に表側表示で存在する限り、指定したモンスターカードゾーンは使用できない。
123,霞の谷の見張り番,通常,4,風,魔法使い,1500,1900,29054481,霞の谷を代々見張り続ける、見張り番一族の末裔。谷で起こる出来事は、どんな些細な事も見逃さない。
124,ミスト・コンドル,効果,4,風,鳥獣,1400,400,65549080,このカードは自分フィールド上に表側表示で存在する「ミスト・バレー」と名のついたモンスター１体を持ち主の手札に戻し、手札から特殊召喚できる。この方法で特殊召喚したこのカードの攻撃力は１７００になる。
125,霞の谷の風使い,ﾁｭｰﾅｰ効果,2,風,鳥獣,400,800,92933195,１ターンに１度、お互いの手札が５枚以上の場合に発動できる。お互いのプレイヤーは手札が４枚になるように手札を墓地へ送る。
126,フレムベル・パウン,効果,1,炎,炎,200,200,28332833,このカードが戦闘によって破壊され墓地へ送られた時、デッキから守備力２００のモンスター１体を手札に加える事ができる。
127,フレムベル・アーチャー,ﾁｭｰﾅｰ効果,3,炎,炎,1000,200,54326448,１ターンに１度、自分フィールド上に表側表示で存在する炎族モンスター１体をリリースして発動できる。フィールド上の全ての「フレムベル」と名のついたモンスターの攻撃力は、エンドフェイズ時まで８００ポイントアップする。
128,フレムベル・デビル,効果,5,炎,悪魔,2100,1200,91711547,このカードが相手ライフに戦闘ダメージを与えた時、自分の墓地の炎族モンスターの数×２００ポイントダメージを相手ライフに与える。
129,Ｘ-セイバー アナペレラ,通常,4,地,戦士,1800,1100,23115241,華麗な攻撃と冷静な判断で戦場を舞う、Ｘ-セイバーの女戦士。時に冷酷なその攻撃は敵に恐れられている。
130,Ｘ-セイバー ガラハド,効果,4,地,戦士,1800,800,50604950,このカードは相手モンスターに攻撃する場合、ダメージステップの間、攻撃力が３００ポイントアップする。このカードは相手モンスターに攻撃される場合、ダメージステップの間、攻撃力が５００ポイントダウンする。また、このカードが攻撃対象に選択された時、このカード以外の自分フィールド上の「セイバー」と名のついたモンスター１体をリリースする事で、その攻撃を無効にする。
131,Ｘ-セイバー パロムロ,ﾁｭｰﾅｰ効果,1,地,爬虫類,200,300,96099959,このカードが墓地に存在し、自分フィールド上の「セイバー」と名のついたモンスターが戦闘によって破壊され墓地へ送られた時、５００ライフポイントを払う事で、このカードを墓地から特殊召喚する。
132,Ｘ-セイバー パシウル,ﾁｭｰﾅｰ効果,2,地,戦士,100,0,23093604,(1)：このカードは戦闘では破壊されない。(2)：相手スタンバイフェイズに発動する。自分は１０００ダメージを受ける。この効果はこのカードがモンスターゾーンに表側守備表示で存在する場合に発動と処理を行う。
133,Ａ・ボム,効果,2,闇,機械,400,300,59482302,このカードが光属性モンスターとの戦闘によって破壊され墓地へ送られた時、フィールド上のカード２枚を選択して破壊する。
134,Ａ・Ｏ・Ｊ サウザンド・アームズ,効果,4,闇,機械,1700,0,85876417,このカードは相手フィールド上の全ての光属性モンスターに１回ずつ攻撃できる。このカードが光属性以外のモンスターと戦闘を行う場合、そのダメージ計算前にこのカードを破壊する。
135,Ａ・Ｏ・Ｊ アンノウン・クラッシャー,効果,3,闇,機械,1200,800,22371016,このカードが光属性モンスターと戦闘を行った時、そのモンスターをゲームから除外する。
136,ワーム・ファルコ,ﾘﾊﾞｰｽ,2,光,爬虫類,500,800,58760121,リバース：このカード以外の自分フィールド上の「ワーム」と名のついた爬虫類族モンスターを全て裏側守備表示にする。
137,ワーム・グルス,効果,4,光,爬虫類,1500,300,85754829,フィールド上に裏側守備表示で存在するモンスターがリバースする度に、このカードにワームカウンターを１つ置く。このカードの攻撃力は、このカードに乗っているワームカウンターの数×３００ポイントアップする。
138,ワーム・ホープ,ﾘﾊﾞｰｽ,1,光,爬虫類,800,1500,11159464,リバース：このカードが相手モンスターの攻撃によってリバースした場合、デッキからカードを１枚ドローする。また、このカードがフィールド上から墓地へ送られた時、自分は手札を１枚選んで墓地へ送る。
139,ワーム・イリダン,効果,5,光,爬虫類,2000,1800,57543573,自分フィールド上にカードがセットされる度に、このカードにワームカウンターを１つ置く。このカードに乗っているワームカウンターを２つ取り除く事で、相手フィールド上のカード１枚を選択して破壊する。
140,ワーム・ジェートリクプス,ﾘﾊﾞｰｽ,3,光,爬虫類,1200,0,84932271,リバース：このターン、このカードが破壊され墓地へ送られた時、このカードを墓地から表側守備表示で特殊召喚する。
141,ワーム・キング,効果,8,光,爬虫類,2700,1100,10026986,このカードは「ワーム」と名のついた爬虫類族モンスター１体をリリースして表側攻撃表示でアドバンス召喚できる。また、自分フィールド上の「ワーム」と名のついた爬虫類族モンスター１体をリリースする事で、相手フィールド上のカード１枚を選択して破壊する。
